State,State Code,District,Block,GP_name,GP Code,Latitude,Longitude,BHQ,BHQ Latitude,BHQ Longitude
KERALA,32,ALAPPUZHA,AMBALAPPUZHA,AMBALAPPUZHA ( NORTH ),220968,9.4064710,76.3512390,AMBALAPUZHA EXCHANGE,9.382930,76.355720
KERALA,32,ALAPPUZHA,AMBALAPPUZHA,AMBALAPPUZHA(SOUTH),220969,9.3831510,76.3559350,AMBALAPUZHA EXCHANGE,9.382930,76.355720
KERALA,32,ALAPPUZHA,AMBALAPPUZHA,PUNNAPRA (NORTH),220970,9.4510260,76.3422580,AMBALAPUZHA EXCHANGE,9.382930,76.355720
KERALA,32,ALAPPUZHA,AMBALAPPUZHA,PUNNAPRA(SOUTH),220971,9.4325700,76.3451470,AMBALAPUZHA EXCHANGE,9.382930,76.355720
KERALA,32,ALAPPUZHA,AMBALAPPUZHA,PURAKKAD,220972,9.3532870,76.3655850,AMBALAPUZHA EXCHANGE,9.382930,76.355720
KERALA,32,ALAPPUZHA,ARYAD,ARYAD,220973,9.5404000,76.3423200,SL PURAM EXCHANGE,9.610064,76.328637
KERALA,32,ALAPPUZHA,ARYAD,MANNANCHERY,220974,9.5721500,76.3471800,SL PURAM EXCHANGE,9.610064,76.328637
KERALA,32,ALAPPUZHA,ARYAD,MARARIKKULAM SOUTH,220975,9.5635700,76.3093600,SL PURAM EXCHANGE,9.610064,76.328637
KERALA,32,ALAPPUZHA,ARYAD,MUHAMMA,221009,9.6130000,76.3630500,SL PURAM EXCHANGE,9.610064,76.328637
KERALA,32,ALAPPUZHA,BHARANICAVU,BHARANIKKAVU,220976,9.1774600,76.5534300,NOORANAD EXCHANGE,9.175265,76.619686
KERALA,32,ALAPPUZHA,BHARANICAVU,CHUNAKKARA,220977,9.1979800,76.5981100,NOORANAD EXCHANGE,9.175265,76.619686
KERALA,32,ALAPPUZHA,BHARANICAVU,MAVELIKKARA THAMARAKKULAM,220978,9.1452500,76.6147200,NOORANAD EXCHANGE,9.175265,76.619686
KERALA,32,ALAPPUZHA,BHARANICAVU,NOORANAD,220979,9.1937400,76.6361800,NOORANAD EXCHANGE,9.175265,76.619686
KERALA,32,ALAPPUZHA,BHARANICAVU,PALAMEL,220980,9.1753300,76.6396300,NOORANAD EXCHANGE,9.175265,76.619686
KERALA,32,ALAPPUZHA,BHARANICAVU,VALLIKUNNAM,220981,9.1304000,76.5562400,NOORANAD EXCHANGE,9.175265,76.619686
KERALA,32,ALAPPUZHA,CHAMPAKULAM,CHAMPAKKULAM,220982,9.4354800,76.4220700,PULINCUNNU EXCHANGE,9.43560,76.44739
KERALA,32,ALAPPUZHA,CHAMPAKULAM,EDATHUA,220983,9.3660850,76.4761210,PULINCUNNU EXCHANGE,9.43560,76.44739
KERALA,32,ALAPPUZHA,CHAMPAKULAM,KAINAKARY,220984,9.4786030,76.3870540,PULINCUNNU EXCHANGE,9.43560,76.44739
KERALA,32,ALAPPUZHA,CHAMPAKULAM,NEDUMUDI,220985,9.4022390,76.4110470,PULINCUNNU EXCHANGE,9.43560,76.44739
KERALA,32,ALAPPUZHA,CHAMPAKULAM,THAKAZHI,220986,9.3716180,76.4120260,PULINCUNNU EXCHANGE,9.43560,76.44739
KERALA,32,ALAPPUZHA,CHAMPAKULAM,THALAVADI,220987,9.3683900,76.5084000,PULINCUNNU EXCHANGE,9.43560,76.44739
KERALA,32,ALAPPUZHA,CHENGANNUR,ALA,220988,9.2861300,76.6087600,CHENGANNOOR OLT,9.321037,76.617608
KERALA,32,ALAPPUZHA,CHENGANNUR,BUDHANNOOR,220989,9.3077298,76.5629283,CHENGANNOOR OLT,9.321037,76.617608
KERALA,32,ALAPPUZHA,CHENGANNUR,CHERIYANAD,220990,9.2754600,76.5986000,CHENGANNOOR OLT,9.321037,76.617608
KERALA,32,ALAPPUZHA,CHENGANNUR,MULAKKUZHA,220992,9.2913874,76.6478785,CHENGANNOOR OLT,9.321037,76.617608
KERALA,32,ALAPPUZHA,CHENGANNUR,PANDANAD,220993,9.3259542,76.5801435,CHENGANNOOR OLT,9.321037,76.617608
KERALA,32,ALAPPUZHA,CHENGANNUR,PULIYOOR,220994,9.3040200,76.5875800,CHENGANNOOR OLT,9.321037,76.617608
KERALA,32,ALAPPUZHA,CHENGANNUR,THIRUVANVANDUR,220995,9.3430657,76.5784280,CHENGANNOOR OLT,9.321037,76.617608
KERALA,32,ALAPPUZHA,CHENGANNUR,VENMONY,220996,9.2460200,76.6145700,CHENGANNOOR OLT,9.321037,76.617608
KERALA,32,ALAPPUZHA,HARIPPAD,CHERUTHANA,220997,9.3022300,76.4447200,HARIPPAD EXCHANGE,9.280833,76.458600
KERALA,32,ALAPPUZHA,HARIPPAD,HARIPPAD,220999,9.2819997,76.4542502,HARIPPAD EXCHANGE,9.280833,76.458600
KERALA,32,ALAPPUZHA,HARIPPAD,KARTHIKAPPALLY,221000,9.2613100,76.4497000,HARIPPAD EXCHANGE,9.280833,76.458600
KERALA,32,ALAPPUZHA,HARIPPAD,KARUVATTA,221001,9.3153400,76.4279300,HARIPPAD EXCHANGE,9.280833,76.458600
KERALA,32,ALAPPUZHA,HARIPPAD,KUMARAPURAM,221002,9.2835300,76.4399900,HARIPPAD EXCHANGE,9.280833,76.458600
KERALA,32,ALAPPUZHA,HARIPPAD,PALLIPPAD,221003,9.2795900,76.4780800,HARIPPAD EXCHANGE,9.280833,76.458600
KERALA,32,ALAPPUZHA,HARIPPAD,THRIKKUNNAPUZHA,221004,9.2591600,76.4101300,HARIPPAD EXCHANGE,9.280833,76.458600
KERALA,32,ALAPPUZHA,HARIPPAD,VEEYAPURAM,221005,9.3198900,76.4608000,HARIPPAD EXCHANGE,9.280833,76.458600
KERALA,32,ALAPPUZHA,KANJIKKUZHY,CHERTHALA SOUTH,221006,9.6575100,76.3179900,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,KANJIKKUZHY,KADAKKARAPPALLY,221024,9.7034900,76.3139200,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,KANJIKKUZHY,KANJIKUZHI,221007,9.6221100,76.3426400,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,KANJIKKUZHY,MARARIKKULAM NORTH,221008,9.6116317,76.3295846,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,KANJIKKUZHY,THANNEERMUKKAM,221010,9.6760900,76.3924500,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,MAVELIKKARA,CHENNITHALA THRIPERUMTHARA,221011,9.2805400,76.5263100,MAVELIKKARA OLT,9.247509,76.546497
KERALA,32,ALAPPUZHA,MAVELIKKARA,CHETTIKULANGARA,221012,9.2288700,76.5172500,MAVELIKKARA OLT,9.247509,76.546497
KERALA,32,ALAPPUZHA,MAVELIKKARA,MANNAR,220991,9.3110300,76.5390200,MAVELIKKARA OLT,9.247509,76.546497
KERALA,32,ALAPPUZHA,MAVELIKKARA,MAVELIKKARA THEKKEKARA,221013,9.2180700,76.5511900,MAVELIKKARA OLT,9.247509,76.546497
KERALA,32,ALAPPUZHA,MAVELIKKARA,THAZHAKKARA,221014,9.2363100,76.5884200,MAVELIKKARA OLT,9.247509,76.546497
KERALA,32,ALAPPUZHA,MUTHUKULAM,ARATTUPUZHA,221015,9.2017200,76.4361900,KAYAMKULAM OLT,9.172260,76.505581
KERALA,32,ALAPPUZHA,MUTHUKULAM,CHEPPAD,221016,9.2411700,76.4698900,KAYAMKULAM OLT,9.172260,76.505581
KERALA,32,ALAPPUZHA,MUTHUKULAM,CHINGOLI,220998,9.2484900,76.4518900,KAYAMKULAM OLT,9.172260,76.505581
KERALA,32,ALAPPUZHA,MUTHUKULAM,DEVIKULANGARA,221017,9.1481500,76.4967700,KAYAMKULAM OLT,9.172260,76.505581
KERALA,32,ALAPPUZHA,MUTHUKULAM,KANDALLOOR,221018,9.1771800,76.4852100,KAYAMKULAM OLT,9.172260,76.505581
KERALA,32,ALAPPUZHA,MUTHUKULAM,KRISHNAPURAM,221019,9.1515000,76.5243800,KAYAMKULAM OLT,9.172260,76.505581
KERALA,32,ALAPPUZHA,MUTHUKULAM,MUTHUKULAM,221020,9.2152400,76.4592400,KAYAMKULAM OLT,9.172260,76.505581
KERALA,32,ALAPPUZHA,MUTHUKULAM,PATHIYOOR,221021,9.2099700,76.4956300,KAYAMKULAM OLT,9.172260,76.505581
KERALA,32,ALAPPUZHA,PATTANAKKAD,AROOR,221022,9.8663400,76.3051800,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,PATTANAKKAD,EZHUPUNNA,221023,9.8233900,76.3051800,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,PATTANAKKAD,KODAMTHURUTHU,221025,9.7965600,76.3159300,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,PATTANAKKAD,KUTHIATHODU,221026,9.7834997,76.3173552,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,PATTANAKKAD,PATTANAKKAD,221027,9.7324000,76.3186200,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,PATTANAKKAD,THURAVOOR,221028,9.7572200,76.3182500,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,PATTANAKKAD,VAYALAR,221029,9.7221139,76.3401908,CHERTHALA OLT,9.679814,76.340915
KERALA,32,ALAPPUZHA,THYCATTUSSERY,AROOKUTTY,221030,9.8647300,76.3240700,PANAVALLY XGE,9.816740,76.350360
KERALA,32,ALAPPUZHA,THYCATTUSSERY,CHENNAMPALIPPURAM,221031,9.7411000,76.3628300,PANAVALLY XGE,9.816740,76.350360
KERALA,32,ALAPPUZHA,THYCATTUSSERY,PANAVALLY,221032,9.8162300,76.3513200,PANAVALLY XGE,9.816740,76.350360
KERALA,32,ALAPPUZHA,THYCATTUSSERY,PERUMBALAM,221033,9.8424700,76.3592200,PANAVALLY XGE,9.816740,76.350360
KERALA,32,ALAPPUZHA,THYCATTUSSERY,THAICATTUSSERY,221034,9.7734400,76.3424200,PANAVALLY XGE,9.816740,76.350360
KERALA,32,ALAPPUZHA,VELIYANAD,KAVALAM,221035,9.4725570,76.4609060,PULICUNNU EXCH,9.435605,76.447390
KERALA,32,ALAPPUZHA,VELIYANAD,MUTTAR,221036,9.4009190,76.4995430,PULICUNNU EXCH,9.435605,76.447390
KERALA,32,ALAPPUZHA,VELIYANAD,NEELAMPEROOR,221037,9.4909680,76.4973360,PULICUNNU EXCH,9.435605,76.447390
KERALA,32,ALAPPUZHA,VELIYANAD,PULINKUNNU,221038,9.4487041,76.4472179,PULICUNNU EXCH,9.435605,76.447390
KERALA,32,ALAPPUZHA,VELIYANAD,RAMANKARI,221039,9.4236340,76.4662080,PULICUNNU EXCH,9.435605,76.447390
KERALA,32,ALAPPUZHA,VELIYANAD,VELIYANAD,221040,9.4248940,76.4887820,PULICUNNU EXCH,9.435605,76.447390
KERALA,32,ERNAKULAM,ALANGAD,ALANGAD,221041,10.1181100,76.2852200,ALUVA TELE EXGE,10.104386,76.355876
KERALA,32,ERNAKULAM,ALANGAD,KADUNGALLUR,221043,10.0959040,76.3179630,ALUVA TELE EXGE,10.104386,76.355876
KERALA,32,ERNAKULAM,ALANGAD,KARUMALLOOR,221042,10.1298500,76.2931300,ALUVA TELE EXGE,10.104386,76.355876
KERALA,32,ERNAKULAM,ALANGAD,VARAPUZHA,221044,10.0751200,76.2709300,ALUVA TELE EXGE,10.104386,76.355876
KERALA,32,ERNAKULAM,ANGAMALI,AYYAMPUZHA,221045,10.2525641,76.4771122,ANKAMALY TE,10.187173,76.383307
KERALA,32,ERNAKULAM,ANGAMALI,KALADY,221046,10.1672139,76.4360492,ANKAMALY TE,10.187173,76.383307
KERALA,32,ERNAKULAM,ANGAMALI,KANJOOR,221047,10.1455654,76.4260489,ANKAMALY TE,10.187173,76.383307
KERALA,32,ERNAKULAM,ANGAMALI,KARUKUTTY,221048,10.2250451,76.3759560,ANKAMALY TE,10.187173,76.383307
KERALA,32,ERNAKULAM,ANGAMALI,MALAYATTOOR NEELESWARAM,221049,10.1855633,76.4755515,ANKAMALY TE,10.187173,76.383307
KERALA,32,ERNAKULAM,ANGAMALI,MANJAPRA,221050,10.2047781,76.4521093,ANKAMALY TE,10.187173,76.383307
KERALA,32,ERNAKULAM,ANGAMALI,MOOKKANNUR,221051,10.2190927,76.4127418,ANKAMALY TE,10.187173,76.383307
KERALA,32,ERNAKULAM,ANGAMALI,THURAVOOR,221053,10.2053770,76.4221403,ANKAMALY TE,10.187173,76.383307
KERALA,32,ERNAKULAM,EDAPPALLY,CHERANALLUR,221054,10.0403460,76.2797660,BOAT JETTY TE,9.973126,76.279795
KERALA,32,ERNAKULAM,EDAPPALLY,ELAMKUNNAPUZHA,221118,10.0183542,76.2255971,BOAT JETTY TE,9.973126,76.279795
KERALA,32,ERNAKULAM,EDAPPALLY,KADAMAKKUDY,221055,10.0526610,76.2611280,BOAT JETTY TE,9.973126,76.279795
KERALA,32,ERNAKULAM,EDAPPALLY,MULAVUKAD,221120,10.0244850,76.2570680,BOAT JETTY TE,9.973126,76.279795
KERALA,32,ERNAKULAM,KOOVAPPADY,ASAMANNOOR,221056,10.0946000,76.5564900,PERUMBAVOOR TE,10.115314,76.476915
KERALA,32,ERNAKULAM,KOOVAPPADY,KOOVAPPADY,221057,10.1530420,76.4821820,PERUMBAVOOR TE,10.115314,76.476915
KERALA,32,ERNAKULAM,KOOVAPPADY,MUDAKUZHA,221058,10.1310750,76.5290390,PERUMBAVOOR TE,10.115314,76.476915
KERALA,32,ERNAKULAM,KOOVAPPADY,OKKAL,221059,10.1538000,76.4533000,PERUMBAVOOR TE,10.115314,76.476915
KERALA,32,ERNAKULAM,KOOVAPPADY,RAYAMANGALAM,221060,10.0850600,76.5195910,PERUMBAVOOR TE,10.115314,76.476915
KERALA,32,ERNAKULAM,KOOVAPPADY,VENGOOR,221061,10.1459030,76.5405490,PERUMBAVOOR TE,10.115314,76.476915
KERALA,32,ERNAKULAM,KOTHAMANGALAM,KAVALANGAD,221062,10.0583333,76.6822222,CHELAD TE,10.099399,76.646828
KERALA,32,ERNAKULAM,KOTHAMANGALAM,KEERAMPARA,221063,10.1069444,76.6705556,CHELAD TE,10.099399,76.646828
KERALA,32,ERNAKULAM,KOTHAMANGALAM,KOTTAPPADY,221064,10.1175000,76.5897222,CHELAD TE,10.099399,76.646828
KERALA,32,ERNAKULAM,KOTHAMANGALAM,KUTTAMPUZHA,221065,10.1513889,76.7355556,CHELAD TE,10.099399,76.646828
KERALA,32,ERNAKULAM,KOTHAMANGALAM,NELLIKKUZHI,221066,10.0775000,76.5902778,CHELAD TE,10.099399,76.646828
KERALA,32,ERNAKULAM,KOTHAMANGALAM,PAINGOTTUR,221067,10.0050000,76.7102778,CHELAD TE,10.099399,76.646828
KERALA,32,ERNAKULAM,KOTHAMANGALAM,PALLARIMANGALAM,221068,10.0302778,76.6816667,CHELAD TE,10.099399,76.646828
KERALA,32,ERNAKULAM,KOTHAMANGALAM,PINDIMANA,221069,10.1050000,76.6236111,CHELAD TE,10.099399,76.646828
KERALA,32,ERNAKULAM,KOTHAMANGALAM,POTHANIKKAD,221070,10.0102778,76.6808333,CHELAD TE,10.099399,76.646828
KERALA,32,ERNAKULAM,KOTHAMANGALAM,VARAPPETTY,221071,10.0280556,76.6261111,CHELAD TE,10.099399,76.646828
KERALA,32,ERNAKULAM,MULANTHURUTHY,AMBALLUR,221072,9.8589380,76.4021650,MULANTHURUTHY XGE,9.898233,76.383600
KERALA,32,ERNAKULAM,MULANTHURUTHY,CHOTTANIKKARA,221073,9.9286370,76.3906330,MULANTHURUTHY XGE,9.898233,76.383600
KERALA,32,ERNAKULAM,MULANTHURUTHY,EDAKKATTUVAYAL,221074,9.8664700,76.4367110,MULANTHURUTHY XGE,9.898233,76.383600
KERALA,32,ERNAKULAM,MULANTHURUTHY,MANEED,221089,9.9054080,76.4579430,MULANTHURUTHY XGE,9.898233,76.383600
KERALA,32,ERNAKULAM,MULANTHURUTHY,MULUMTHURUTHY,221075,9.9010830,76.3902910,MULANTHURUTHY XGE,9.898233,76.383600
KERALA,32,ERNAKULAM,MULANTHURUTHY,UDAYAMPERUR,221076,9.8975650,76.3692460,MULANTHURUTHY XGE,9.898233,76.383600
KERALA,32,ERNAKULAM,MUVATTUPUZHA,ARAKUZHA,221077,9.9324618,76.5992137,MUVATTUPUZHA TE,9.984065,76.577315
KERALA,32,ERNAKULAM,MUVATTUPUZHA,AVOLY,221078,9.9578112,76.6247669,MUVATTUPUZHA TE,9.984065,76.577315
KERALA,32,ERNAKULAM,MUVATTUPUZHA,AYAVANA,221079,9.9853237,76.6379864,MUVATTUPUZHA TE,9.984065,76.577315
KERALA,32,ERNAKULAM,MUVATTUPUZHA,KALLOORKKAD,221080,9.9701412,76.6719123,MUVATTUPUZHA TE,9.984065,76.577315
KERALA,32,ERNAKULAM,MUVATTUPUZHA,MANJALLOOR,221081,9.9442567,76.6410888,MUVATTUPUZHA TE,9.984065,76.577315
KERALA,32,ERNAKULAM,MUVATTUPUZHA,MARADY,221082,9.9558189,76.5601902,MUVATTUPUZHA TE,9.984065,76.577315
KERALA,32,ERNAKULAM,MUVATTUPUZHA,PAIPRA,221083,10.0210000,76.5614700,MUVATTUPUZHA TE,9.984065,76.577315
KERALA,32,ERNAKULAM,MUVATTUPUZHA,VALAKOM,221084,9.9799463,76.5407371,MUVATTUPUZHA TE,9.984065,76.577315
KERALA,32,ERNAKULAM,PALLURUTHY,CHELLANAM,221085,9.8555050,76.2675600,EDACOCHI T.E,9.908443,76.293984
KERALA,32,ERNAKULAM,PALLURUTHY,KUMBALAM,221124,9.9042910,76.3212630,EDACOCHI T.E,9.908443,76.293984
KERALA,32,ERNAKULAM,PALLURUTHY,KUMBALANGY,221086,9.8879230,76.2855000,EDACOCHI T.E,9.908443,76.293984
KERALA,32,ERNAKULAM,PAMPAKUDA,ELANJI,221087,9.8312000,76.5405800,PAMPAKUDA TE,9.920311,76.520611
KERALA,32,ERNAKULAM,PAMPAKUDA,Koothattukulam,221088,9.8619000,76.5958200,PAMPAKUDA TE,9.920311,76.520611
KERALA,32,ERNAKULAM,PAMPAKUDA,PALAKUZHA,221090,9.8814000,76.6066700,PAMPAKUDA TE,9.920311,76.520611
KERALA,32,ERNAKULAM,PAMPAKUDA,PAMPAKUDA,221091,9.9189000,76.5209700,PAMPAKUDA TE,9.920311,76.520611
KERALA,32,ERNAKULAM,PAMPAKUDA,Piravom,221092,9.8776000,76.4851400,PAMPAKUDA TE,9.920311,76.520611
KERALA,32,ERNAKULAM,PAMPAKUDA,RAMAMANGALAM,221093,9.9428000,76.4816200,PAMPAKUDA TE,9.920311,76.520611
KERALA,32,ERNAKULAM,PAMPAKUDA,THIRUMARADY,221094,9.8878000,76.5540700,PAMPAKUDA TE,9.920311,76.520611
KERALA,32,ERNAKULAM,PARAKKADAV,CHENGAMANAD,221095,10.0888040,76.3431750,CHENGAMANAD TE,10.153958,76.341787
KERALA,32,ERNAKULAM,PARAKKADAV,KUNNUKARA,221096,10.1556780,76.2955630,CHENGAMANAD TE,10.153958,76.341787
KERALA,32,ERNAKULAM,PARAKKADAV,NEDUMBASSERY,221097,10.1622564,76.3691942,CHENGAMANAD TE,10.153958,76.341787
KERALA,32,ERNAKULAM,PARAKKADAV,PARAKKADAVU,221098,10.1883340,76.3282230,CHENGAMANAD TE,10.153958,76.341787
KERALA,32,ERNAKULAM,PARAKKADAV,PUTHENVELIKKARA,221099,10.1859500,76.2460280,CHENGAMANAD TE,10.153958,76.341787
KERALA,32,ERNAKULAM,PARAKKADAV,SREEMOOLANAGARAM,221052,10.1356630,76.4065970,CHENGAMANAD TE,10.153958,76.341787
KERALA,32,ERNAKULAM,PARAVUR,CHENDAMANGALAM,221100,10.1748779,76.2305964,PARAVUR TE,10.149452,76.226443
KERALA,32,ERNAKULAM,PARAVUR,CHITTATTUKARA,221101,10.1607640,76.2134900,PARAVUR TE,10.149452,76.226443
KERALA,32,ERNAKULAM,PARAVUR,EZHIKKARA,221102,10.1150807,76.2271903,PARAVUR TE,10.149452,76.226443
KERALA,32,ERNAKULAM,PARAVUR,KOTTUVALLY,221103,10.1214918,76.2547470,PARAVUR TE,10.149452,76.226443
KERALA,32,ERNAKULAM,PARAVUR,VADAKKEKARA,221104,10.1675180,76.2124810,PARAVUR TE,10.149452,76.226443
KERALA,32,ERNAKULAM,VADAVUCODE,AIKKARANAD,221105,9.9829680,76.4763880,KOLENCHERY T.E,9.978889,76.475000
KERALA,32,ERNAKULAM,VADAVUCODE,KUNNATHUNAD,221106,10.0248920,76.4055180,KOLENCHERY T.E,9.978889,76.475000
KERALA,32,ERNAKULAM,VADAVUCODE,MAZHUVANNOOR,221107,10.0349910,76.5024090,KOLENCHERY T.E,9.978889,76.475000
KERALA,32,ERNAKULAM,VADAVUCODE,POOTHRIKKA,221108,9.9651310,76.4445880,KOLENCHERY T.E,9.978889,76.475000
KERALA,32,ERNAKULAM,VADAVUCODE,THIRUVANIYOOR,221109,9.9339950,76.4250930,KOLENCHERY T.E,9.978889,76.475000
KERALA,32,ERNAKULAM,VADAVUCODE,VADAVUCODE PUTHEN CRUZ,221110,9.9763740,76.4187530,KOLENCHERY T.E,9.978889,76.475000
KERALA,32,ERNAKULAM,VAZHAKKULAM,CHOORNIKKARA,221111,10.0888041,76.3443176,ALUVA TELE EXGE,10.104386,76.355876
KERALA,32,ERNAKULAM,VAZHAKKULAM,EDATHALA,221112,10.0728470,76.3809930,ALUVA TELE EXGE,10.104386,76.355876
KERALA,32,ERNAKULAM,VAZHAKKULAM,KEEZHMAD,221113,10.1030220,76.3877250,ALUVA TELE EXGE,10.104386,76.355876
KERALA,32,ERNAKULAM,VAZHAKKULAM,KIZHAKKAMBALAM,221114,10.0350720,76.4082600,ALUVA TELE EXGE,10.104386,76.355876
KERALA,32,ERNAKULAM,VAZHAKKULAM,VAZHAKKULAM,221115,10.1151810,76.4301410,ALUVA TELE EXGE,10.104386,76.355876
KERALA,32,ERNAKULAM,VAZHAKKULAM,VENGOLA,221116,10.0799140,76.4663080,ALUVA TELE EXGE,10.104386,76.355876
KERALA,32,ERNAKULAM,VYPEEN,EDAVANAKKAD,221117,10.0945371,76.2067495,CHERAI TE,10.138645,76.195539
KERALA,32,ERNAKULAM,VYPEEN,KUZHUPPILLY,221119,10.1120770,76.2019822,CHERAI TE,10.138645,76.195539
KERALA,32,ERNAKULAM,VYPEEN,NAYARAMBALAM,221121,10.0607266,76.2138949,CHERAI TE,10.138645,76.195539
KERALA,32,ERNAKULAM,VYPEEN,NJARAKKAL,221122,10.0439515,76.2178874,CHERAI TE,10.138645,76.195539
KERALA,32,ERNAKULAM,VYPEEN,PALLIPPURAM,221123,10.1390020,76.1950040,CHERAI TE,10.138645,76.195539
KERALA,32,IDUKKI,ADIMALY,ADIMALY,221127,10.0093610,76.9580710,ADIMALY TE,10.010471,76.954861
KERALA,32,IDUKKI,ADIMALY,BISONVALLEY,221125,10.0096510,77.0835610,ADIMALY TE,10.010471,76.954861
KERALA,32,IDUKKI,ADIMALY,KONNATHADY,221126,9.9575310,77.0290810,ADIMALY TE,10.010471,76.954861
KERALA,32,IDUKKI,ADIMALY,PALLIVASAL,221128,10.0091820,77.0365310,ADIMALY TE,10.010471,76.954861
KERALA,32,IDUKKI,ADIMALY,VELLATHOOVAL,221129,9.9771810,77.0274820,ADIMALY TE,10.010471,76.954861
KERALA,32,IDUKKI,AZHUTHA,ELAPPARA,221130,9.6309610,76.9787890,PEERUMEDU TE,9.571591,76.994069
KERALA,32,IDUKKI,AZHUTHA,KOKKAYAR,221131,9.5757390,76.8938090,PEERUMEDU TE,9.571591,76.994069
KERALA,32,IDUKKI,AZHUTHA,KUMALY,221132,9.6054090,77.1652610,PEERUMEDU TE,9.571591,76.994069
KERALA,32,IDUKKI,AZHUTHA,PEERUMEDU,221133,9.5731510,76.9920010,PEERUMEDU TE,9.571591,76.994069
KERALA,32,IDUKKI,AZHUTHA,PERUVANTHANAM,221134,9.5535210,76.9254890,PEERUMEDU TE,9.571591,76.994069
KERALA,32,IDUKKI,AZHUTHA,VANDIPERIYAR,221135,9.5714010,77.0895310,PEERUMEDU TE,9.571591,76.994069
KERALA,32,IDUKKI,DEVIKULAM,CHINNAKANAL,221136,10.0406410,77.1726810,MARAYOOR TE,10.278609,77.169491
KERALA,32,IDUKKI,DEVIKULAM,DEVIKULAM,238327,10.1050610,77.1270110,MARAYOOR TE,10.278609,77.169491
KERALA,32,IDUKKI,DEVIKULAM,Edamalakkudy,276898,10.1991500,76.9595790,MARAYOOR TE,10.278609,77.169491
KERALA,32,IDUKKI,DEVIKULAM,KANTHALLOOR,221137,10.2152910,77.1949090,MARAYOOR TE,10.278609,77.169491
KERALA,32,IDUKKI,DEVIKULAM,MANKULAM,221138,10.1260010,76.9250010,MARAYOOR TE,10.278609,77.169491
KERALA,32,IDUKKI,DEVIKULAM,MARAYOOR,221139,10.2765310,77.1626210,MARAYOOR TE,10.278609,77.169491
KERALA,32,IDUKKI,DEVIKULAM,MUNNAR,221140,10.0853710,77.0592610,MARAYOOR TE,10.278609,77.169491
KERALA,32,IDUKKI,DEVIKULAM,SANTHANPARA,221141,9.9653210,77.0592610,MARAYOOR TE,10.278609,77.169491
KERALA,32,IDUKKI,DEVIKULAM,VATTAVADA,221142,10.1839010,77.2592010,MARAYOOR TE,10.278609,77.169491
KERALA,32,IDUKKI,ELEMDESAM,ALAKKODE,221143,9.8824310,76.7651910,KARIMANNOOR TE,9.918647,76.782803
KERALA,32,IDUKKI,ELEMDESAM,KARIMANNOOR,221144,9.9208010,76.7783390,KARIMANNOOR TE,9.918647,76.782803
KERALA,32,IDUKKI,ELEMDESAM,KODIKULAM,221145,9.9481310,76.7650510,KARIMANNOOR TE,9.918647,76.782803
KERALA,32,IDUKKI,ELEMDESAM,KUDAYATHOOR,221146,9.8271010,76.7895010,KARIMANNOOR TE,9.918647,76.782803
KERALA,32,IDUKKI,ELEMDESAM,UDUMBANOOR,221147,9.9061010,76.8135510,KARIMANNOOR TE,9.918647,76.782803
KERALA,32,IDUKKI,ELEMDESAM,VANNAPURAM,221148,9.9879310,76.7897510,KARIMANNOOR TE,9.918647,76.782803
KERALA,32,IDUKKI,ELEMDESAM,VELLIYAMATTOM,221149,9.8479710,76.8286410,KARIMANNOOR TE,9.918647,76.782803
KERALA,32,IDUKKI,IDUKKI,ARAKULAM,221150,9.7912110,76.8521610,IDUKKI TE,9.855758,76.937525
KERALA,32,IDUKKI,IDUKKI,IDUKKI - KANJIKUZHY,221151,9.9525410,76.9340010,IDUKKI TE,9.855758,76.937525
KERALA,32,IDUKKI,IDUKKI,KAMAKSHY,221152,9.8397610,77.0346710,IDUKKI TE,9.855758,76.937525
KERALA,32,IDUKKI,IDUKKI,MARIYAPURAM,221153,9.8565090,76.9877710,IDUKKI TE,9.855758,76.937525
KERALA,32,IDUKKI,IDUKKI,VATHIKUDY,221154,9.9140910,77.0082510,IDUKKI TE,9.855758,76.937525
KERALA,32,IDUKKI,IDUKKI,VAZHATHOPE,221155,9.8744710,76.9591610,IDUKKI TE,9.855758,76.937525
KERALA,32,IDUKKI,KATTAPPANA,AYYAPPANCOIL,221156,9.7543100,77.1158300,KATTAPANA  TE,9.760778,77.115250
KERALA,32,IDUKKI,KATTAPPANA,CHAKKUPALLAM,221157,9.6645610,77.1574710,KATTAPANA  TE,9.760778,77.115250
KERALA,32,IDUKKI,KATTAPPANA,ERATTAYAR,221158,9.7949410,77.1075810,KATTAPANA  TE,9.760778,77.115250
